origin,person,personal-id,sampling_event_code_2022,molecular-id_AHE,Subfamily,tribe,tribe_uncert,subtribe,genus,genus_uncert,species,species_uncert,sex,sex_uncert,date_DNAextraction,year,country,Date,collector,collection_Method,Country,cooY,cooX,altitude,location,AHE1,AHE1 length,AHE-BLAST,AHE-BLAST hit,AHE-identity(coverage),iPhycl,AHE1 iPhycl-Ca. Phytoplasma ass.,AHE1 iPhycl-16S group/subgroup classification,RFLP unique restriction enzymes,AHE2 length,AHE1-AHE2,AHE2 iPhycl-Ca. Phytoplasma ass.,AHE2 iPhycl-16S group/subgroup classification,CAT-AHE,CATcons-AHE,AHE probe kit 2,qPCR,qPCR-Cq,CAT-qPCR
GoLife,,2-58.1-,,,Deltocephalinae,Stenometopiini,,,Stirellus,,dixianus,,M,,,2005,Mexico,25-X-2005,C.H. Dietrich,sweep,Mexico,"23°25'12.7""N","103°33'14.3""W",2400,ZAC:13.5km NW Vasco de Quiroga,,,,,,,,,,,,,,,,,neg,,
GoLife,,2-59.1-,,,Neocoelidiinae,Neocoelidiini,,,Neocoelidia,,n.sp.,,M,,,2005,Mexico,18-X-2005,C.H. Dietrich,sweep,Mexico,"19°01'50.1""N","99°16'37.2""W",2600,MOR:rt.106 6.7km E Tres Marias,,,,,,,,,,,,,,,,,neg,,
GoLife,,4-12.1+,,,Deltocephalinae,Athysanini,,,Thamnotettix,,confinis,,M,,,2016,Usa,27 VI 2016,D. Dmitriev,sweep,Usa,"46°01'38.6""N","92°00'45.3""W",,"Wisconsin Washburn Co., 16.0 km WNW Lampson at Howell Landing Rd. ",,,,,,,,,,,,,,,,,neg,,
GoLife,,4-14.1+,,,Deltocephalinae,Cicadulini,,,Cicadula,,saliens,,M,,,2016,Usa,29 VI 2016,D. Dmitriev,sweep,Usa,"45°40'39.7""N","92°52'17.3""W",,"Wisconsin, Burnett Co., 7.1 km E Rush City, MN",,,,,,,,,,,,,,,,,neg,,
GoLife,,4-15.1-,,,Deltocephalinae,Athysanini,,,Extrusanus,,oryssus,,M,,,2016,Usa,29 VI 2016,D. Dmitriev,sweep,Usa,"45°40'39.7""N","92°52'17.3""W",,"Wisconsin, Burnett Co., 7.1 km E Rush City, MN",,,,,,,,,,,,,,,,,neg,,
GoLife,,4-20.1+,,,Deltocephalinae,Athysanini,,,Extrusanus,,oryssus,,M,,,2016,Usa,28 VI 2016,D. Dmitriev,sweep,Usa,"45°41'11.4""N","92°52'05.6""W",,"Wisconsin, Burnett Co., 7.1 km E Rush City, MN,",,,,,,,,,,,,,,,,,neg,,
GoLife,,4-23.1?-,,,Deltocephalinae,Scaphoideini,,,Spathanus,,acuminatus,,M,,,2014,Usa,8-14.V.2014,M.E. Irwin,Malaise,Usa,"33°41'26.4""N","114°05'22.8""W",425,"Arizona, Maricopa Co; 12 km E Quartzsite, I-10 at Gold Nugget Road",,,,,,,,,,,,,,,,,neg,,
GoLife,,5-1.1-,,,Portaninae,Portanini,,,Portanus,,,,M,,,2002,Peru,9-Oct-02,"Peña, Rakitov & Takiya",Malaise,Peru,"10°11'08.0""S","75°34'25.0""W",1050,"PASCO Department,",,,,,,,,,,,,,,,,,neg,,
,,,,,,,,,,,,,,,,,,,,,,,,,"P. N. Yanachaga Chemillén,",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Puesto de Control Huampal,,,,,,,,,,,,,,,,,,,
GoLife,,5-2.1-,,,Deltocephalinae,Stenometopiini,,,Stirellus,,yeongnamensis,,M,,,2004,Taiwan,20-Jun-04,C.H. Dietrich,sweep,Taiwan,"24°01'37.0""N","120°41'44.0""E",200,"Taichung Wufeng, Taiwan Agr. Res. Inst.",,,,,,,,,,,,,,,,,neg,,
GoLife,,5-3.1+,,,Deltocephalinae,Cicadulini,,,Watanabella,,graminea,,M,,,2012,China,18-Jul-12,C.H. Dietrich,sweep,China,"34°10'21.3""N","107°01'46.1""E",2300,"Shaanxi, Jialing River Source Park",,,,,,,,,,,,,,,,,neg,,
GoLife,,5-4.1+,,,Deltocephalinae,Stegelytrini,,,Pseudododa,,orientalis,,F,,,2007,Thailand,30.ix-7.x.2007,Songkran & Apichart,Malaise,Thailand,"19°24'16.7""N","98°55'18.7""E",491,Chiang Mai Doi Chiang Dao WS Nature trail  ,,,,,,,,,,,,,,,,,neg,,
GoLife,,5-6.1+,,,Deltocephalinae,Drabescini,,Paraboloponina,Bhatia,,n.sp.,,M,,,2009,Malaysia,30 Jun-28 July 2009,"J. Urban, K. Kinser, S. Krishnankutty, V. Thompson, R. Muscovitch",,Malaysia,"4°04'15.0""N","114°51'22.8""E",,"Sarawak; Gunung Mulu National Park, near hdqtrs;",,,,,,,,,,,,,,,,,neg,,
GoLife,,5-7.1+,,,Deltocephalinae,Drabescini,,Paraboloponina,Kutara,,lui,,M,,,2006,Thailand,12-19.x.2006,Nukoonchai Jaroenchai,Malaise,Thailand,"17°29'51.8""N","101°20'33.2""E",1178,Loei Phu Ruea NP Suan hin Palee  ,,,,,,,,,,,,,,,,,neg,,
GoLife,,5-8.1+,,,Deltocephalinae,Penthimiini,,,Chinaella,,n.sp.,,M,,,2009,Australia,10-Feb-09,"K. Hill, D. Marshall",,AUSTRALIA,"30°00'15.1""S","116°49'22.2""E",281,"WA, 22.3km N of Wubin on Great Northern Hwy",,,,,,,,,,,,,,,,,neg,,
GoLife,,30-29.1+,,,Deltocephalinae,Scaphoideini,,,Scaphoideus,,sp.,,M,,,2014,Usa,27-Aug-14,C.H. Dietrich,vacuum,USA,"40°09'07.6""N","89°50'37.1""W",,"Illinois, Revis",,,,,,,,,,,,,,,,,neg,,
GoLife,,30-31.1+,,,Deltocephalinae,Pendarini,,,Paraphlepsius,,irroratus,,M,,,2016,Usa,6-Oct-16,C.H. Dietrich,Hg light,USA,"40°03'32.4""N","87°33'54.0""W",,"Illinois, Vermilion Co. 4.5 mi. S Danville, Vermilion River Observatory",,,,,,,,,,,,,,,,,neg,,
GoLife,,30-32.1+,,,Deltocephalinae,Opsiini,,Opsiina,Japananus,,hyalinus,,F,,,2016,Usa,6-Oct-16,C.H. Dietrich,Hg light,USA,"40°03'32.4""N","87°33'54.0""W",,"Illinois, Vermilion Co. 4.5 mi. S Danville, Vermilion River Observatory",,,,,,,,,,,,,,,,,neg,,
GoLife,,30-35.1+,,,Deltocephalinae,Pendarini,,,Chlorotettix,,lusorius,,M,,,2016,Usa,6-Oct-16,C.H. Dietrich,Hg light,USA,"40°03'32.4""N","87°33'54.0""W",,"Illinois, Vermilion Co. 4.5 mi. S Danville, Vermilion River Observatory",,,,,,,,,,,,,,,,,neg,,
GoLife,,30-36.1-,,,Deltocephalinae,Pendarini,,,Chlorotettix,,galbanatus,,M,,,2016,Usa,6-Oct-16,C.H. Dietrich,Hg light,USA,"40°03'32.4""N","87°33'54.0""W",,"Illinois, Vermilion Co. 4.5 mi. S Danville, Vermilion River Observatory",,,,,,,,,,,,,,,,,neg,,
GoLife,,30-37.1+,,,Deltocephalinae,Deltocephalini,,,Planicephalus,,flavocostatus,,M,,,2016,Usa,6-Oct-16,C.H. Dietrich,Hg light,USA,"40°03'32.4""N","87°33'54.0""W",,"Illinois, Vermilion Co. 4.5 mi. S Danville, Vermilion River Observatory",,,,,,,,,,,,,,,,,neg,,
GoLife,,30-38.1-,,,Deltocephalinae,Deltocephalini,,,Horouta,,aristarche,,M,,,2015,Australia,22-Feb-15,C.H. Dietrich,vacuum,Australia,"27°15'14.4""S","152°06'25.6""E",454,"QLD, Crow's Nest N.P. ",,,,,,,,,,,,,,,,,neg,,
GoLife,,30-63.1+,,,Deltocephalinae,Eupelicini,,Eupelicina,Eupelix,,cuspidata,,M,,,2008,Spain,25.v-5.vi. 2008,M.E. Irwin,Malaise,Spain,"41°07'21.0""N","0°48'39.0""E",350,"Catalunya, Prorat 2km E Marçá, Mother's Garden",,,,,,,,,,,,,,,,,neg,,
GoLife,,30-67.1+,,,Deltocephalinae,Paralimnini,,Paralimnina,Pasaremus,,concentricus,,M,,,2010,Usa,21-29.vii.2010,M.E. Irwin & F.D. Parker,Malaise,Usa,"43°00'36.0""N","121°34'37.8""W",1370,"Oregon, Lake Co 52km SW Silver Lk. Hwy 86 mi. 18",,,,,,,,,,,,,,,,,neg,,
GoLife,,30-93.1-,,,Deltocephalinae,Hecalini,,Hecalina,Hecalus,,australis,,M,,,2003,Australia,23.IV-4.V.2003,M.E. Irwin & F.D. Parker,,Australia,"22°28'24.0""S","118°32'36.0""E",668,Karjini Nat'l Park; Dale Gorge Road,,,,,,,,,,,,,,,,,neg,,
GoLife,,32-34.1+,,,Deltocephalinae,Paralimnini,,Paralimnina,Psammotettix,,koeleriae,,M,,,2000,Kyrgyzstan,20-Jul-00,C.H. Dietrich,vacuum,Kyrgyzstan,"42°24'35.0""N","79°24'30.0""E",3370,"Issyk-Kul Terskey Alatoo, Turuk-2 Pass",,,,,,,,,,,,,,,,,neg,,
GoLife,,32-81.1-,,,Deltocephalinae,Paralimnini,,Paralimnina,Phlebiastes,,tianshanica,,M,,,2000,Kyrgyzstan,16-Jul-00,C.H. Dietrich,vacuum,Kyrgyzstan,"41°17'47.0""N","74°39'20.0""E",1700,Naryn Alabuga River 25 km W Baetovo,,,,,,,,,,,,,,,,,pos,32.64,
GoLife,,33-9.1+,,,Deltocephalinae,Stenometopiini,,,Stirellus,,productus,,M,,,2015,China,8-Sep-15,C.H. Dietrich,sweep,China,"30°46'15.8""N","106°07'13.4""E",303,Sichuan Nanchong,,,,,,,,,,,,,,,,,pos,20.41,
GoLife,,34-17.1-,,,Deltocephalinae,Penthimiini,,,Penthimiola,,n.sp.,,M,,,2012,Madagascar,8 – 17  September 2012,M.E. Irwin & R. Harin'Hala,Malaise,Madagascar,"23°26'27.0""S","43°53'58.8""E",45,"Tulear, Ambohimahavelona village 33 km NE of Tulear ",,,,,,,,,,,,,,,,,pos,32.44,
GoLife,,1-1.1-,,,Deltocephalinae,Stenometopiini,,,Stirellus,,sp.,,F,,,2007,Zambia,7-Nov,J.N. Zahniser,sweep,Zambia,"11°48'48.5""S","24°21'57.2""E",,Northwestern Prov. ~11km SW Mwinilunga Nkunyi Local Forest,,,,,,,,,,,,,,,,,pos,32.36,
GoLife,,1-2.1-,,,Deltocephalinae,Scaphoideini,,,Scaphoidophyes,,n.sp.,,M,,,2007,Zambia,7.XI.2007,J.N. Zahniser,Hg light,Zambia,"11°48'48.5""S","24°21'57.2""E",,Northwestern Prov. ~11km SW Mwinilunga Nkunyi Local Forest,,,,,,,,,,,,,,,,,pos,33.03,
GoLife,,1-5.1+,,,Deltocephalinae,Scaphoideini,,,Scaphoidophyes,,n.sp.,,M,,,2007,Zambia,6.XI.2007,J.N. Zahniser,sweep,Zambia,"11°44'41.7""S","24°26'17.9""E",,Northwestern Prov.Mwinilunga,,,,,,,,,,,,,,,,,neg,,
GoLife,,1-9.1+,,,Deltocephalinae,Bonaspeiini,,,Bonaspeia,,eriocephalus,,M,,,2004,South Africa,7-XII-2004,J.N. Zahniser,sweep,South Africa,"33°45'40.0""S","18°27'00.0""E",231,WCape Prov. Blaauwberg Hill,,,,,,,,,,,,,,,,,neg,,
GoLife,,1-10.1+,,,Deltocephalinae,Deltocephalini,,,Paramesodes,,n.sp.,,M,,,2009,Cameroon,15-30 Mar 2009,"J.R. Cryan, G.J. Svenson",,Cameroon,"6°12'08.1""N","12°44'41.7""E",,CAMEROON: Adamaoua; Mbam et Djerem National Park; WCS Guesthouse,,,,,,,,,,,,,,,,,neg,,
GoLife,,1-11.1-,,,Deltocephalinae,Stenometopiini,,,Hodoedocus,,n.sp.,,M,,,2007,Zambia,6.XI.2007,J.N. Zahniser,sweep,Zambia,"11°44'41.7""S","24°26'17.9""E",,Northwestern Prov.Mwinilunga,,,,,,,,,,,,,,,,,neg,,
GoLife,,1-12.1+,,,Deltocephalinae,Scaphoideini,,,Scaphoidophyes,,sp.,,F,,,2007,Zambia,10.XI.2007,J.N. Zahniser,Hg light,Zambia,"12°55'03.8""S","28°15'52.6""E",1247,Copperbelt Prov.~12 km SSE of Kitwe Greystone Farm,,,,,,,,,,,,,,,,,neg,,
GoLife,,1-13.1-,,,Deltocephalinae,Selenocephalini,,Adamina,Adama,,n.sp.,,M,,,2007,Zambia,"Nov. 5-9, 2007",J.R. Cryan,,Zambia,"11°48'48.5""S","24°21'58.5""E",1448,"North West, nr. Mwinilunga; ~4 km NE of Mushinshi; [Kyunyi Forest on military base]",,,,,,,,,,,,,,,,,neg,,
GoLife,,1-17.1+,,,Deltocephalinae,Deltocephalini,,,n.gen.RC1,,n.sp.1,,M,,,2008,Republic of Congo,"19-26 viii, 2008",Braet,Malaise,Republic of Congo,"3°06'01.2""S","15°31'26.4""E",330,"Dept. Pool, Abio, Lesio-Loun Pk,",,,,,,,,,,,,,,,,,neg,,
GoLife,,1-19.1+,,,Deltocephalinae,Bonaspeiini,,,Caffrolix,,,,F,,,2004,South Africa,11-XII-2004,J.N. Zahniser,sweep,South Africa,"34°38'56.8""S","20°12'40.1""E",8,WCape Prov. Arniston,,,,,,,,,,,,,,,,,neg,,
GoLife,,1-20.1+,,,Deltocephalinae,Chiasmini,,,Exitianus,,n.sp.,,M,,,2007,Zambia,2.IX.2007,J.N. Zahniser,sweep,Zambia,"12°54'19.5""S","28°14'22.4""E",1151,Copperbelt Prov.~12 km SSE of Kitwe Kumasamba Lodge,,,,,,,,,,,,,,,,,neg,,
GoLife,,1-22.1-,,,Deltocephalinae,Deltocephalini,,,Maiestas,,mica,,M,,,2007,Zambia,11.XI.2007,J.N. Zahniser,Hg light,Zambia,"12°54'19.5""S","28°14'22.4""E",1151,Copperbelt Prov.~12 km SSE of Kitwe Kumasamba Lodge,,,,,,,,,,,,,,,,,neg,,
GoLife,,1-26.1+,,,Deltocephalinae,Stenometopiini,,,Stirellus,,sagittaria,,M,,,2009,Eswatini,9-Dec,T.A. Catanach,,Eswatini,"26°18'35.4""S","31°59'30.2""E",527,Mlawula Nature Reserve,,,,,,,,,,,,,,,,,neg,,
GoLife,,1-27.1-,,,Deltocephalinae,Deltocephalini,,,Maiestas,,canga,,M,,,2007,Zambia,2.IX.2007,J.N. Zahniser,sweep,Zambia,"12°54'19.5""S","28°14'22.4""E",1151,Copperbelt Prov.~12 km SSE of Kitwe Kumasamba Lodge,,,,,,,,,,,,,,,,,neg,,
GoLife,,1-28.1+,,,Deltocephalinae,Bonaspeiini,,,Caffrolix,,n.sp.,,M,,,2004,South Africa,7-XII-2004,J.N. Zahniser,sweep,South Africa,"33°45'40.0""S","18°27'00.0""E",231,WCape Prov. Blaauwberg Hill,,,,,,,,,,,,,,,,,neg,,
GoLife,,1-29.1-,,,Deltocephalinae,Deltocephalini,,,n.gen.CM1,,n.sp.1,,M,,,2009,Cameroon,15-30 Mar 2009,"J.R. Cryan, G.J. Svenson",,Cameroon,"6°12'08.1""N","12°44'41.7""E",,CAMEROON: Adamaoua; Mbam et Djerem National Park; WCS Guesthouse,,,,,,,,,,,,,,,,,neg,,
GoLife,,1-30.1+,,,Deltocephalinae,Selenocephalini,,Selenocephalina,Sapoba,,serricauda,,M,,,2009,Cameroon,15-30 Mar. 2009,"J.R. Cryan, G.J. Svenson",,Cameroon,"5°03'02.1""N","8°56'41.0""E",,Southwest; nr. Korup National Park at bridge over river,,,,,,,,,,,,,,,,,neg,,
GoLife,,1-32.1+,,,Deltocephalinae,Penthimiini,,,Vulturnus,,sp.,,F,,,2008,Madagascar,9-24 Nov. 2008,"J.R. Cryan, G.J. Svenson",,Madagascar,"21°15'15.2""S","47°25'17.8""E",,Fianarantsoa Prov.; Ranomafana National Park; nr. Centre ValBio,,,,,,,,,,,,,,,,,neg,,
GoLife,,1-36.1+,,,Deltocephalinae,Hecalini,,Hecalina,Hecalus,,macilentus,,M,,,2007,Zambia,18.VI.2007,J.N. Zahniser,Hg light,Zambia,"11°22'10.3""S","24°18'37.3""E",1474,Northwestern Prov. Zambezi Source Nat. Mon.,,,,,,,,,,,,,,,,,neg,,
GoLife,,1-39.1-,,,Deltocephalinae,Stenometopiini,,,Stirellus,,flavovirescens,,M,,,2009,Cameroon,15-30 Mar 2009,"J.R. Cryan, G.J. Svenson",,Cameroon,"6°12'08.1""N","12°44'41.7""E",,Adamaoua; Mbam et Djerem National Park; WCS Guesthouse,,,,,,,,,,,,,,,,,neg,,
GoLife,,1-40.1+,,,Deltocephalinae,Selenocephalini,,Selenocephalina,Bumka,,armatissima,,M,,,2009,Cameroon,15-30 Mar. 2009,"J.R. Cryan, G.J. Svenson",,Cameroon,"5°03'02.1""N","8°56'41.0""E",,Southwest; nr. Korup National Park at bridge over river,,,,,,,,,,,,,,,,,neg,,
GoLife,,1-46.1+,,,Deltocephalinae,Selenocephalini,,Adamina,Adama,,australis,,M,,,2009,Eswatini,9-Dec,T.A. Catanach,,Eswatini,"26°18'35.4""S","31°59'30.2""E",527,Mlawula Nature Reserve,,,,,,,,,,,,,,,,,neg,,
GoLife,,1-49.1+,,,Deltocephalinae,Paralimnini,,Paralimnina,n.gen.ZA1,,,,F,,,2007,Zambia,11.XI.2007,J.N. Zahniser,Hg light,Zambia,"12°54'19.5""S","28°14'22.4""E",1151,Copperbelt Prov.~12 km SSE of Kitwe Kumasamba Lodge,,,,,,,,,,,,,,,,,neg,,
GoLife,,1-50.1-,,,Deltocephalinae,Selenocephalini,,Selenocephalina,Bumka,,pylaon,,M,,,2009,Cameroon,15-30 Mar. 2009,"J.R. Cryan, G.J. Svenson",,Cameroon,"5°03'02.1""N","8°56'41.0""E",,Southwest; nr. Korup National Park at bridge over river,,,,,,,,,,,,,,,,,neg,,
GoLife,,1-52.1+,,,Deltocephalinae,Acostemmini,,,Acostemma,,marginale,,M,,,2008,Madagascar,9-24 Nov. 2008,"J.R. Cryan, G.J. Svenson",,Madagascar,"21°15'15.2""S","47°25'17.8""E",,Fianarantsoa Prov.; Ranomafana National Park; nr. Centre ValBio,,,,,,,,,,,,,,,,,neg,,
GoLife,,1-56.1+,,,Deltocephalinae,Phlepsiini,,,Korana,,rorulenta,,M,,,2007,Zambia,10.XI.2007,J.R. Cryan,,Zambia,"12°55'03.8""S","28°15'52.6""E",1247,Copperbelt Prov.~12 km SSE of Kitwe Greystone Farm,,,,,,,,,,,,,,,,,neg,,
GoLife,,1-60.1+,,,Deltocephalinae,Selenocephalini,,Adamina,Adama,,n.sp.,,M,,,2007,Zambia,10.XI.2007,J.N. Zahniser,Hg light,Zambia,"12°55'03.8""S","28°15'52.6""E",1247,Copperbelt Prov.~12 km SSE of Kitwe Greystone Farm,,,,,,,,,,,,,,,,,neg,,
GoLife,,1-66.1-,,,Deltocephalinae,Eupelicini,,Paradorydiina,Paradorydium,,angolensis,,F,,,2007,Zambia,5.XI.2007,J.N. Zahniser,sweep,Zambia,"11°30'16.1""S","24°22'44.8""E",1384,Northwestern Prov.~28.5 km N Mwinilunga,,,,,,,,,,,,,,,,,neg,,
GoLife,,1-68.1-,,,Deltocephalinae,Cicadulini,,,n.gen.ZA1,,n.sp.,,M,,,2007,Zambia,5.XI.2007,J.N. Zahniser,sweep,Zambia,"11°30'16.1""S","24°22'44.8""E",1384,Northwestern Prov.~28.5 km N Mwinilunga,,,,,,,,,,,,,,,,,neg,,
GoLife,,1-69.1-,,,Deltocephalinae,Scaphoideini,,,Delospilopterus,,scoliopeus,,M,,,2008,Republic of Congo,27.x.2008,Sharkey + Braet,,Republic of Congo,"3°16'11.8""S","15°28'16.0""E",330,"Dept. Pool Iboubikro, Lesio-Loun Pk",,,,,,,,,,,,,,,,,neg,,
GoLife,,1-70.1+,,,Deltocephalinae,Selenocephalini,,Adamina,n.gen.,,,,F,,,2007,Zambia,10.XI.2007,J.N. Zahniser,Hg light,Zambia,"12°55'03.8""S","28°15'52.6""E",1247,Copperbelt Prov.~12 km SSE of Kitwe Greystone Farm ,,,,,,,,,,,,,,,,,neg,,
GoLife,,1-72.1-,,,Deltocephalinae,Acostemmini,,,Acostemma,,n.sp.,,M,,,2008,Madagascar,7-24 Nov. 2008,"J.R. Cryan, G.J. Svenson",,Madagascar,"21°21'59.4""S","47°48'18.3""E",,"Fianarantsoa Prov.; Rt. 12, between Infanadiana Village and Kianjavato Village",,,,,,,,,,,,,,,,,neg,,
GoLife,,1-79.1-,,,Deltocephalinae,Bonaspeiini,,,n.gen.SA1,,,,M,,,2004,South Africa,2-23-X-2004,"M.E. Irwin, F.D. Parker, M. Hauser",Malaise,South Africa,"33°20'58""S","22°02'54""E",1500,"South Africa, Western Cape; Top of Swartberg Pass",,,,,,,,,,,,,,,,,neg,,
GoLife,,1-75.1+,,,Deltocephalinae,Selenocephalini,,Ianeirina,n.gen.,,,,F,,,2009,Cameroon,41.0; 15-30 Mar. 2009,"J.R. Cryan, G.J. Svenson",,Cameroon,"5°03'02.1""N","8°56'41.0""E",,Southwest; nr. Korup National Park at bridge over river,,,,,,,,,,,,,,,,,neg,,
GoLife,AP,1.01,,,Deltocephalinae,Athysanini,,,Duocrassana,,longula,,M,,25-Sep-19,2019,Mexico,26-Jul-19,"A. Pinedo-Escatel, B. Morris, J. Aragon",light,Mexico,"16°24'24.3""N","95°42'35.9""W",536,"Oaxaca, Carr. 190 Oaxaca-Tehuantepec, 8.2km-Este La Reforma",,,,,,,,,,,,,,,,,neg,,
GoLife,AP,1.02,,,Deltocephalinae,Athysanini,,,Costamia,,venosa,,M,,25-Sep-19,2018,Mexico,29-Sep-18,A. Pinedo-Escatel,light,Mexico,"18°14'02.7""N","099°40'38.9""W",650,"Guerrero, Apango",,,,,,,,,,,,,,,,,neg,,
GoLife,AP,1.04,,,Deltocephalinae,Athysanini,,,Cocrassana,,sexvarus,,M,,30-Sep-19,2018,Mexico,1-Sep-18,D. Camarena,,Mexico,"20°39'42.98""N","103°42'19.56""W",1341,Jalisco,,,,,,,,,,,,,,,,,neg,35.24,
GoLife,AP,1.07,MEXGUE113,,Deltocephalinae,Athysanini,,,Acunasus,,luteus,,M,,30-Sep-19,2018,Mexico,1-Oct-18,A. Pinedo-Escatel,light,Mexico,"18°08'01.9""N","099°21'23.4""W",1059,Guerrero,,,,,,,,,,,,,,,,,neg,35,
GoLife,AP,1.08,,,Deltocephalinae,Athysanini,,,Duocrassana,,longula,,M,,30-Sep-19,2019,Mexico,26-Jul-19,"A. Pinedo-Escatel, B. Morris, J. Aragon",light,Mexico,"16°24'24.3""N","95°42'35.9""W",536,Oaxaca,,,,,,,,,,,,,,,,,neg,,
GoLife,AP,1.09,,,Deltocephalinae,Athysanini,,,Costamia,,venosa,,M,,30-Sep-19,2018,Mexico,1-Oct-18,A. Pinedo-Escatel,light,Mexico,"18°08'01.9""N","099°21'23.4""W",1059,Guerrero,,,,,,,,,,,,,,,,,neg,50.62,
GoLife,AP,1.11,,,Deltocephalinae,Athysanini,,,Cocrassana,,sexvarus,,M,,2-Oct-19,2018,Mexico,1-Sep-18,D. Camarena,,Mexico,"20°39'42.98""N","103°42'19.56""W",1341,Jalisco,,,,,,,,,,,,,,,,,neg,,
GoLife,AP,1.12,,,Deltocephalinae,Athysanini,,,Neocrassana,,punctiger,,M,,2-Oct-19,2018,Mexico,3-May-18,Juan Cruzado Cortez,visual collection,Mexico,"22°23'11.7""N","98°58'35.5""W",499,,,,,,,,,,,,,,,,,,neg,,
GoLife,AP,1.13,,,Deltocephalinae,Athysanini,,,Mesamia,,divisa,,M,,2-Oct-19,2018,Mexico,8-Oct-18,A. Pinedo-Escatel,light,Mexico,"19°42'02.1""N","104°01'41.6""W",864,Jalisco,,,,,,,,,,,,,,,,,neg,38.86,
GoLife,AP,1.14,,,Deltocephalinae,Athysanini,,,Crassana,,marginella,,M,,2-Oct-19,2018,Mexico,30-Sep-18,A. Pinedo-Escatel,sweep,Mexico,"18°12'48.7""N","099°39'46.9""W",597,Guerrero,,,,,,,,,,,,,,,,,neg,49.69,
GoLife,AP,1.15,,,Deltocephalinae,Athysanini,,,Crassana,,goniana,,M,,2-Oct-19,2018,Mexico,1-Oct-18,A. Pinedo-Escatel,light,Mexico,"18°08'01.9""N","099°21'23.4""W",1059,Guerrero,,,,,,,,,,,,,,,,,neg,26.31,
GoLife,AP,1.16,,,Deltocephalinae,Athysanini,,,Ollarianus,,,,M,,,2018,Mexico,30-Sep-18,A. Pinedo-Escatel,light,Mexico,"18°21'49.0""N","099°29'03.9""W",885,Tuxpan,,,,,,,,,,,,,,,,,neg,50.41,
GoLife,AP,1.17,,,Deltocephalinae,Athysanini,,,Ollarianus,,,,M,,,2018,Mexico,8-Sep-18,A. Pinedo-Escatel,light,Mexico,"19°42'02.1""N","104°01'41.6""W",864,Sierra de Tuxcacuesco a 5.5 km del pueblo Tuxcacuesco,,,,,,,,,,,,,,,,,neg,48.89,
GoLife,AP,1.18,,,Deltocephalinae,Athysanini,,,Norvellina,,pulchella,,M,,,2017,Mexico,14-Aug-17,A. Pinedo-Escatel,light,Mexico,"20°37'25.5""N","98°46'59.5""W",1336,Eloxochitlán,,,,,,,,,,,,,,,,,neg,,
GoLife,AP,1.19,,,Deltocephalinae,Pendarini,,,Chlorotettix,,inscriptus,,M,,3-Oct-19,2017,Mexico,15-Aug-17,,,Mexico,"20°37'55.0""N","98°36'15.6""W",2067,Hidalgo,,,,,,,,,,,,,,,,,neg,49.2,
GoLife,AP,1.23,,,Deltocephalinae,Deltocephalini,,,Planicephalus,,,,M,,3-Oct-19,2019,Mexico,9-Apr-19,A. Pinedo-Escatel,light,Mexico,"20°10'47.5""N","88°40'01.9""W",13,Yucatán,,,,,,,,,,,,,,,,,neg,,
GoLife,AP,1.24,,,Deltocephalinae,Deltocephalini,,,Amblysellus,,,,M,,3-Oct-19,2018,Mexico,27-Aug-18,Torres-Moreno,,Mexico,"20°44'41.9""N","103°30'54.9""W",,Jalisco,,,,,,,,,,,,,,,,,neg,,
GoLife,AP,1.25,,,Deltocephalinae,Pendarini,,,Tropicanus,,,,M,,3-Oct-19,2018,Mexico,8-Sep-18,A. Pinedo-Escatel,light,Mexico,"19°42'02.1""N","104°01'41.6""W",864,Jalisco,,,,,,,,,,,,,,,,,neg,50.18,
GoLife,AP,1.26,,,Deltocephalinae,Scaphoideini,,,Omanana,,,,M,,3-Oct-19,2017,Mexico,2-Nov-17,A. Pinedo-Escatel,sweep,Mexico,"19°43'10.1""N","103°53'11.4""W",996,Jalisco,,,,,,,,,,,,,,,,,neg,38.13,
GoLife,AP,1.28,,,Deltocephalinae,Scaphytopiini,,,Scaphytopius,,sp1,,M,,20-Oct-19,2019,Mexico,13-Apr-19,A. Trejo,sweep,Mexico,"17°19'23.8""N","91°55'35.6""W",180,Chiapas,,,,,,,,,,,,,,,,,neg,,
GoLife,AP,1.3,,,Deltocephalinae,Faltalini,,,Tenucephalus,,,,F,,20-Oct-19,2017,Mexico,3-Nov-17,A. Pinedo-Escatel,sweep,Mexico,"19°41'20.0""N","104°23'48.2""W",1651,Jalisco,,,,,,,,,,,,,,,,,neg,40.4,
GoLife,AP,1.33,,,Deltocephalinae,Chiasmini,,,Exitianus,,sp.1,,M,,20-Oct-19,2019,Mexico,13-Apr-19,A. Trejo,sweep,Mexico,"17°17'27.2""N","91°56'27.4""W",344,Chiapas,,,,,,,,,,,,,,,,,neg,,
GoLife,AP,1.35,,,Deltocephalinae,Bahitini,,,Frequenamia,,,,M,,20-Oct-19,2008,Argentina,5-Jan-08,C.H. Dietrich,Hg light,Argentina,"26°55'55""S","54°43'4""W",450,Misiones,,,,,,,,,,,,,,,,,neg,39.14,
